corop	naam	gemeenten
30	Zuidoost-Zuid-Holland	Alblasserdam, Dordrecht, Gorinchem, Hardinxveld-Giessendam, Hendrik-Ido-Ambacht, Molenlanden, Papendrecht, Sliedrecht, Zwijndrecht
31	Zeeuws-Vlaanderen	Hulst, Sluis, Terneuzen
32	Overig Zeeland	Borsele, Goes, Kapelle, Middelburg, Noord-Beveland, Reimerswaal, Schouwen-Duiveland, Tholen, Veere, Vlissingen
33	West-Noord-Brabant	Bergen op Zoom, Breda, Drimmelen, Etten-Leur, Geertruidenberg, Halderberge, Moerdijk, Oosterhout, Roosendaal, Rucphen, Steenbergen, Woensdrecht, Zundert
34	Midden-Noord-Brabant	Alphen-Chaam, Altena, Baarle-Nassau, Dongen, Gilze en Rijen, Goirle, Hilvarenbeek, Loon op Zand, Oisterwijk, Tilburg, Waalwijk
35	Noordoost-Noord-Brabant	Bernheze, Boekel, Boxtel, Land van Cuijk, s-Hertogenbosch, Heusden, Maashorst, Meierijstad, Oss, Sint-Michielsgestel, Vught
36	Zuidoost-Noord-Brabant	Asten, Bergeijk, Best, Bladel, Cranendonck, Deurne, Eersel, Eindhoven, Geldrop-Mierlo, Gemert-Bakel, Heeze-Leende, Helmond, Laarbeek, Nuenen, Gerwen en Nederwetten, Oirschot, Reusel-De Mierden, Someren, Son en Breugel, Valkenswaard, Veldhoven, Waalre
37	Noord-Limburg	Beesel, Bergen, Gennep, Horst aan de Maas, Mook en Middelaar, Peel en Maas, Venlo, Venray
38	Midden-Limburg	Echt-Susteren, Leudal, Maasgouw, Nederweert, Roerdalen, Roermond, Weert
39	Zuid-Limburg	Beek, Beekdaelen, Brunssum, Eijsden-Margraten, Gulpen-Wittem, Heerlen, Kerkrade, Landgraaf, Maastricht, Meerssen, Simpelveld, Sittard-Geleen, Stein, Vaals, Valkenburg aan de Geul, Voerendaal
40	Flevoland	Almere, Dronten, Lelystad, Noordoostpolder, Urk, Zeewolde
